Corpus,System,Pair,Contextual,Features,Merged,AllMinPairs,BetweenMinPairs,WithinMinPairs,AllEntropy,WithinEntropy,SegEntropy,BiphoneEntropy,HiSegTok,LoSegTok,HiSegType,LoSegType
HK,HK_CC_initial,mn,1,1,Unmerged,7,4,3,0.000200843,4.86E-05,0.008162855,0.002435731,0.03469282,0.011912375,0.046140755,0.012260078
HK,HK_CC_initial,mN,1,1,Unmerged,4,3,1,3.30E-05,4.90E-06,0.00115001,0.001015893,0.011912375,0.001084783,0.012260078,0.00305714
HK,HK_CC_initial,nl,1,1,Merged,6,4,2,8.99E-05,1.02E-05,-0.001402843,0.002675343,0.03469282,0.010483538,0.046140755,0.016451826
HK,HK_CC_initial,nN,1,1,Unmerged,1,0,1,2.45E-05,2.44E-05,-0.003519045,0.000723971,0.03469282,0.001084783,0.046140755,0.00305714
HK,HK_CC_initial,Ww,1,1,Unmerged,10,5,5,0.000412976,0.000285413,0.002882243,0.001543099,0.012600484,0.0041327,0.00775316,0.003687478
HK,HK_CC_initial,Wj,1,1,Unmerged,3,1,2,3.77E-05,2.95E-05,0.004003414,0.001641787,0.033211363,0.0041327,0.025528696,0.003687478
HK,HK_CC_initial,wj,1,1,Unmerged,3,2,1,0.000309759,4.07E-05,0.008303544,0.00380588,0.033211363,0.012600484,0.025528696,0.00775316
HK,HK_CC_final,mn,1,1,Unmerged,0,0,0,0,0,0,0,0.038106178,0.009185099,0.046281851,0.01225299
HK,HK_CC_final,mN,1,1,Unmerged,0,0,0,0,0,0,0,0.009185099,0.001207495,0.01225299,0.003120125
HK,HK_CC_final,mp,1,1,Unmerged,0,0,0,0,0,0,0,0.009185099,0.006978143,0.01225299,0.011862975
HK,HK_CC_final,nN,1,1,Merged,0,0,0,-3.01E-16,1.50E-15,-0.00324041,5.35E-16,0.038106178,0.001207495,0.046281851,0.003120125
HK,HK_CC_final,nt,1,1,Unmerged,16,9,7,0.000426201,0.000236215,0.004588612,0.00785858,0.038106178,0.015842148,0.046281851,0.024310972
HK,HK_CC_final,Nk,1,1,Unmerged,0,0,0,0,0,0,0,0.023824276,0.001207495,0.027398596,0.003120125
HK,HK_CC_final,pt,1,1,Unmerged,14,4,10,0.000228399,0.000139979,0.001055576,0.002596322,0.015842148,0.006978143,0.024310972,0.011862975
HK,HK_CC_final,pk,1,1,Unmerged,2,1,1,5.53E-05,3.62E-05,0.001401531,0.003727397,0.023824276,0.006978143,0.027398596,0.011862975
HK,HK_CC_final,tk,1,1,Unmerged,10,4,6,0.000354182,0.00020212,0.00168791,0.006548647,0.023824276,0.015842148,0.027398596,0.024310972
HK,HK_tone,13,0,1,Unmerged,110,69,41,0.002939742,0.001273296,0.018756868,0.018068698,0.046852105,0.041225805,0.063569605,0.045668001
HK,HK_tone,25,0,1,Merged,24,19,5,0.001371094,0.000502176,0.01619361,0.01318161,0.052413642,0.028552462,0.044281257,0.013583788
HK,HK_tone,36,0,1,Unmerged,40,27,13,0.00166039,0.000280219,0.021206657,0.01903778,0.060784282,0.041225805,0.049103344,0.045668001
HK,HK_tone,45,0,1,Unmerged,41,28,13,0.001324721,0.00023786,0.013222441,0.008746064,0.033656609,0.028552462,0.043966088,0.013583788
HK,HK_tone,46,0,1,Unmerged,47,27,20,0.000703032,0.000327326,0.018953688,0.014033138,0.060784282,0.033656609,0.049103344,0.043966088
HK,HK_tone,56,0,1,Unmerged,20,11,9,0.001431388,0.001168485,0.01724843,0.012250652,0.060784282,0.028552462,0.049103344,0.013583788
Ko,K_5_OnsNeut,Cd,1,1,Unmerged,49,14,35,8.95E-05,2.66E-05,0.000449816,3.52E-05,0.050596173,0.021588299,0.033902021,0.02585904
Ko,K_5_OnsNeut,Cc,1,1,Unmerged,19,0,19,1.26E-05,1.26E-05,-0.000549947,-0.000780134,0.021588299,0.006387434,0.02585904,0.008812941
Ko,K_5_OnsNeut,CD,1,1,Unmerged,0,0,0,-3.70E-15,1.85E-15,-0.001188987,-0.001624627,0.021588299,0.001364569,0.02585904,0.001233521
Ko,K_5_OnsNeut,CG,1,1,Unmerged,0,0,0,-1.44E-15,4.10E-16,-0.001146415,-0.001601989,0.021588299,0.001535677,0.02585904,0.001788209
Ko,K_5_OnsNeut,CJ,1,1,Merged,0,0,0,2.06E-16,1.44E-15,-0.001489627,-0.001979924,0.021588299,0.000507754,0.02585904,0.000821467
Ko,K_5_OnsNeut,CB,1,1,Unmerged,1,0,1,2.87E-06,2.86E-06,-0.001487584,-0.002007644,0.021588299,0.000511892,0.02585904,0.000587705
Ko,K_5_OnsNeut,dc,1,1,Unmerged,12,7,5,3.46E-05,8.80E-06,-0.004272518,-0.00632393,0.050596173,0.006387434,0.033902021,0.008812941
Ko,K_5_OnsNeut,dD,1,1,Merged,2,1,1,7.77E-07,2.69E-07,-0.006420426,-0.008363194,0.050596173,0.001364569,0.033902021,0.001233521
Ko,K_5_OnsNeut,dt,1,1,Unmerged,5,1,4,7.19E-06,3.85E-06,-0.004819899,-0.006376708,0.050596173,0.004663935,0.033902021,0.004977667
Ko,K_5_OnsNeut,dS,1,1,Unmerged,0,0,0,-6.17E-16,8.21E-16,-0.006849125,-0.008876784,0.050596173,0.00081742,0.033902021,0.000746188
Ko,K_5_OnsNeut,dJ,1,1,Unmerged,0,0,0,-1.32E-14,8.00E-15,-0.007145553,-0.009101184,0.050596173,0.000507754,0.033902021,0.000821467
Ko,K_5_OnsNeut,dh,1,1,Unmerged,0,0,0,-3.09E-15,2.26E-15,-0.002055233,-0.003294151,0.050596173,0.018597644,0.033902021,0.01841301
Ko,K_5_OnsNeut,ds,1,1,Unmerged,43,20,23,9.62E-05,1.35E-05,-0.001729645,-0.003363947,0.050596173,0.021414644,0.033902021,0.026721449
Ko,K_5_OnsNeut,ct,1,1,Unmerged,3,0,3,1.02E-06,1.02E-06,-3.22E-05,-0.000106095,0.006387434,0.004663935,0.008812941,0.004977667
Ko,K_5_OnsNeut,cJ,1,1,Unmerged,0,0,0,-4.11E-16,8.21E-16,-0.000282404,-0.000399016,0.006387434,0.000507754,0.008812941,0.000821467
Ko,K_5_OnsNeut,cs,1,1,Unmerged,28,0,28,2.61E-05,2.60E-05,0.000156513,0.000183619,0.021414644,0.006387434,0.026721449,0.008812941
Ko,K_5_OnsNeut,Dt,1,1,Unmerged,1,0,1,3.25E-07,3.24E-07,1.60E-05,2.36E-05,0.004663935,0.001364569,0.004977667,0.001233521
Ko,K_5_OnsNeut,DS,1,1,Unmerged,0,0,0,-2.06E-16,0,-6.20E-06,-1.16E-05,0.001364569,0.00081742,0.001233521,0.000746188
Ko,K_5_OnsNeut,DJ,1,1,Unmerged,0,0,0,0,-4.10E-16,-1.22E-05,-1.62E-05,0.001364569,0.000507754,0.001233521,0.000821467
Ko,K_5_OnsNeut,Dh,1,1,Unmerged,0,0,0,-2.06E-16,-2.05E-16,3.39E-05,3.73E-05,0.018597644,0.001364569,0.01841301,0.001233521
Ko,K_5_OnsNeut,Ds,1,1,Unmerged,1,1,0,3.51E-07,0,3.57E-05,4.71E-05,0.021414644,0.001364569,0.026721449,0.001233521
Ko,K_5_OnsNeut,tS,1,1,Unmerged,0,0,0,-2.06E-16,-4.10E-16,-5.39E-05,-7.94E-05,0.004663935,0.00081742,0.004977667,0.000746188
Ko,K_5_OnsNeut,tJ,1,1,Unmerged,0,0,0,-2.06E-16,-6.15E-16,-6.82E-05,-9.78E-05,0.004663935,0.000507754,0.004977667,0.000821467
Ko,K_5_OnsNeut,th,1,1,Unmerged,0,0,0,-2.06E-16,6.15E-16,4.46E-05,3.15E-05,0.018597644,0.004663935,0.01841301,0.004977667
Ko,K_5_OnsNeut,GJ,1,1,Unmerged,0,0,0,4.11E-16,0,-1.54E-05,-1.67E-05,0.001535677,0.000507754,0.001788209,0.000821467
Ko,K_5_OnsNeut,Gg,1,1,Merged,0,0,0,2.06E-16,-4.10E-16,4.52E-05,5.47E-05,0.034048566,0.001535677,0.040489605,0.001788209
Ko,K_5_OnsNeut,SJ,1,1,Unmerged,0,0,0,0,-6.15E-16,-4.85E-06,-1.30E-05,0.00081742,0.000507754,0.000821467,0.000746188
Ko,K_5_OnsNeut,Sh,1,1,Unmerged,0,0,0,4.11E-16,-2.05E-16,3.54E-05,3.49E-05,0.018597644,0.00081742,0.01841301,0.000746188
Ko,K_5_OnsNeut,Ss,1,1,Merged,1,0,1,1.50E-07,1.49E-07,3.70E-05,4.52E-05,0.021414644,0.00081742,0.026721449,0.000746188
Ko,K_5_OnsNeut,Sk,1,1,Unmerged,0,0,0,-4.11E-16,-6.15E-16,1.51E-05,1.91E-05,0.003056552,0.00081742,0.004450713,0.000746188
Ko,K_5_OnsNeut,bB,1,1,Merged,0,0,0,-8.23E-16,-4.10E-16,-0.000493809,-0.000597084,0.015787966,0.000511892,0.019172405,0.000587705
Ko,K_5_OnsNeut,bp,1,1,Unmerged,2,0,2,1.28E-06,1.28E-06,-0.000218985,-0.000237087,0.015787966,0.003747511,0.019172405,0.005937806
Ko,K_5_OnsNeut,Bp,1,1,Unmerged,0,0,0,2.06E-16,0,8.27E-06,9.64E-06,0.003747511,0.000511892,0.005937806,0.000587705
Ko,K_5_OnsNeut,gk,1,1,Unmerged,0,0,0,-4.11E-16,-4.10E-16,-0.000989662,-0.001166525,0.034048566,0.003056552,0.040489605,0.004450713
Ko,K_5_OnsNeut,hs,1,1,Unmerged,0,0,0,0,0,0,0,0.021414644,0.018597644,0.026721449,0.01841301
Ko,K_3_CodaNeut,kS,1,1,Unmerged,0,0,0,-2.06E-16,0,-6.56E-08,3.06E-07,0.003057348,0.002350312,0.004457317,0.00076996
Ko,K_3_CodaNeut,kg,1,1,Merged,0,0,0,-2.06E-16,0,6.01E-07,2.04E-06,0.033944787,0.003057348,0.040430174,0.004457317
Ko,K_3_CodaNeut,tc,1,1,Unmerged,0,0,0,-3.90E-15,0,6.62E-05,-1.07E-05,0.006448317,0.005313112,0.008918596,0.005229918
Ko,K_3_CodaNeut,th,1,1,Unmerged,0,0,0,-2.06E-16,2.05E-15,0.000299227,-0.000103727,0.018608229,0.005313112,0.018419614,0.005229918
Ko,K_3_CodaNeut,tS,1,1,Unmerged,0,0,0,2.06E-16,1.64E-15,-0.000145807,0.000227792,0.005313112,0.002350312,0.005229918,0.00076996
Ko,K_3_CodaNeut,tJ,1,1,Unmerged,0,0,0,-4.11E-16,4.10E-16,-0.00042114,-0.000123736,0.005313112,0.000507754,0.005229918,0.000821467
Ko,K_3_CodaNeut,tD,1,1,Unmerged,0,0,0,4.11E-16,1.85E-15,-0.000252145,-0.000123736,0.005313112,0.001364569,0.005229918,0.001233521
Ko,K_3_CodaNeut,td,1,1,Merged,9,4,5,9.79E-06,9.00E-06,0.000502706,0.000298393,0.046237288,0.005313112,0.032051739,0.005229918
Ko,K_3_CodaNeut,pB,1,1,Unmerged,0,0,0,4.11E-16,6.15E-16,-0.000149128,-5.25E-05,0.003961834,0.000511892,0.006094968,0.000587705
Ko,K_3_CodaNeut,pb,1,1,Merged,6,3,3,3.54E-05,1.78E-05,0.000113597,0.000344097,0.015573643,0.003961834,0.019015243,0.006094968
Ko,K_3_CodaNeut,Bb,1,1,Merged,0,0,0,0,0,0,0,0.015573643,0.000511892,0.019015243,0.000587705
Ko,K_3_CodaNeut,BC,1,1,Unmerged,0,0,0,0,0,0,0,0.022189804,0.000511892,0.026102047,0.000587705
Ko,K_3_CodaNeut,Cc,1,1,Unmerged,0,0,0,-2.26E-15,1.03E-15,-0.000274921,8.98E-05,0.022189804,0.006448317,0.026102047,0.008918596
Ko,K_3_CodaNeut,CJ,1,1,Unmerged,0,0,0,-1.23E-15,6.15E-16,-0.000776585,-3.21E-05,0.022189804,0.000507754,0.026102047,0.000821467
Ko,K_3_CodaNeut,CG,1,1,Unmerged,1,1,0,7.49E-06,6.15E-16,-0.000567185,0.000111761,0.022189804,0.001638661,0.026102047,0.001841037
Ko,K_3_CodaNeut,CD,1,1,Unmerged,0,0,0,-1.03E-15,-8.20E-16,-0.000603152,-3.21E-05,0.022189804,0.001364569,0.026102047,0.001233521
Ko,K_3_CodaNeut,Cd,1,1,Merged,6,1,5,2.50E-06,2.39E-06,0.000176081,0.000392497,0.046237288,0.022189804,0.032051739,0.026102047
Ko,K_3_CodaNeut,cs,1,1,Unmerged,1,0,1,6.01E-07,6.00E-07,2.33E-05,5.78E-05,0.022918487,0.006448317,0.027940442,0.008918596
Ko,K_3_CodaNeut,cJ,1,1,Unmerged,0,0,0,1.03E-15,2.05E-16,-4.57E-05,-3.77E-05,0.006448317,0.000507754,0.008918596,0.000821467
Ko,K_3_CodaNeut,cd,1,1,Merged,0,0,0,1.23E-15,0,3.62E-05,3.77E-05,0.046237288,0.006448317,0.032051739,0.008918596
Ko,K_3_CodaNeut,hS,1,1,Unmerged,0,0,0,6.17E-16,0,-6.70E-06,1.20E-05,0.018608229,0.002350312,0.018419614,0.00076996
Ko,K_3_CodaNeut,hs,1,1,Unmerged,0,0,0,6.17E-16,2.05E-16,6.77E-07,2.10E-05,0.022918487,0.018608229,0.027940442,0.018419614
Ko,K_3_CodaNeut,hD,1,1,Unmerged,0,0,0,4.11E-16,2.05E-16,-8.46E-06,-1.44E-06,0.018608229,0.001364569,0.018419614,0.001233521
Ko,K_3_CodaNeut,hd,1,1,Merged,0,0,0,-2.06E-16,0,2.95E-06,1.62E-05,0.046237288,0.018608229,0.032051739,0.018419614
Ko,K_3_CodaNeut,Ss,1,1,Unmerged,2,1,1,0.000163094,4.06E-05,0.001650028,0.000825734,0.022918487,0.002350312,0.027940442,0.00076996
